"ITEM CODE";"PARTICULARS";"UOM";"CASE SIZE";"SALE UOM BREAKUP";"SALE UOM (ml/no)";"COST PRICE BTL";"COST PRICE SML/GLS";"COST PRICE ML";"Big Bang Bandra";"BKC";"Lower Parel";"Juhu";"Colaba";"Andheri";"Malad";"Dadar";"THANE";"Chembur";"TOTAL STOCK";"TOTAL CASES";"TOTAL AMOUNT"
"BEER: DOMESTIC";"KINGFISHER DRAFT BEER";1;24;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: DOMESTIC";"BIRA WHITE BEER";1;24;1;1;115.08;115.08;115.08;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: DOMESTIC";"BIRA BLOND BEERR";1;24;1;1;92.06;92.06;92.06;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: DOMESTIC";"DESPERADOS TEQUILA BEER       ";1;24;1;1;290.0;290.0;290.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: DOMESTIC";"DOS EQUIS XX BEER             ";1;24;1;1;290.0;290.0;290.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1.0;0.0;0.0;1.0;0.041666666666666664;290.0
"BEER: DOMESTIC";"BIRA LITE BEER";1;24;1;1;125.0;125.0;125.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: DOMESTIC";"BECKS ICE";1;24;1;1;67.52;67.52;67.52;0.0;1.0;0.0;1.0;0.0;0.0;0;0.0;1.0;0.0;3.0;0.125;202.56
"BEER: DOMESTIC";"SIMONA BEER";1;24;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: DOMESTIC";"HOPPER BEER";1;24;1;1;67.51;67.51;67.51;93.0;213.0;99.0;5.0;219.0;64.0;218;21.0;108.0;30.0;1070.0;44.583333333333336;72235.70000000001
"BEER: DOMESTIC";"HOPPER BEER BLONDE";1;24;1;1;145.5;145.5;145.5;44.0;49.0;61.0;74.0;0.0;32.0;0;0.0;0.0;35.0;295.0;12.291666666666666;42922.5
"BEER: IMPORTED";"ASAHI";1;24;1;1;195.0;195.0;195.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: IMPORTED";"BRODDY BOUPBON";1;24;1;1;140.6;140.6;140.6;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: IMPORTED";"CORONA BEER                   ";1;24;1;1;262.0;262.0;262.0;230.0;255.0;487.0;555.0;226.0;321.0;334;358.0;35.0;417.0;3218.0;134.08333333333334;843116.0
"BEER: IMPORTED";"CORONA SUNSET";1;24;1;1;320.0;320.0;320.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: IMPORTED";"GUINNESS DRAUGHT BEER         ";1;24;1;1;280.0;280.0;280.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: IMPORTED";"HOEGAARDEN BEER               ";1;24;1;1;262.0;262.0;262.0;422.0;250.0;416.0;565.0;263.0;268.0;299;410.0;12.0;501.0;3406.0;141.91666666666666;892372.0
"BEER: IMPORTED";"HONEY APPLE CYDER";1;24;1;1;530.59;530.59;530.59;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: IMPORTED";"HONEY STILL CYDER";1;24;1;1;530.59;530.59;530.59;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: IMPORTED";"INDIA PALE ALE";1;24;1;1;316.81;316.81;316.81;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: IMPORTED";"KARLTENBERG";1;24;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: IMPORTED";"LEFFE BEER                    ";1;24;1;1;319.15;319.15;319.15;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: IMPORTED";"PERONI BEER                   ";1;24;1;1;115.85233630952382;115.85233630952382;115.85233630952382;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
